from,to,kommentar,tonalität,zeit,folge,thema
BB,JH,4,2,238,2,3
CDU,JH,1,1,238,2,3
SPD,AOE,1,1,238,2,3
LINKE,AOE,2,2,238,2,3
LINKE,AOE,2,2,238,2,3
SPD,AOE,1,1,238,2,3
AGL,AOE,2,2,238,1,3
SPD,AOE,1,1,238,2,3
SPD,AOE,1,1,238,2,3
CHH,AOE,2,4,238,2,3
SPD,AOE,1,1,238,2,3
DD,AOE,6,2,238,2,3
SPD,AOE,1,1,238,2,3
CDU,AOE,1,1,238,2,3
LINKE,DD,1,1,238,2,3
LINKE,AOE,3,2,238,2,3
LINKE,AOE,2,2,238,2,3
LINKE,AOE,2,2,238,2,3
SPD,AOE,1,1,238,2,3
CDU,AOE,1,1,238,2,3
AFD,APH,1,1,238,2,3
AFD,APH,1,1,238,2,3
AFD,APH,1,1,238,2,3
AFD,APH,1,1,238,2,3
SPD,APH,2,2,238,2,3
AGL,APH,6,2,238,2,3
AG,APH,1,1,238,2,3
AFD,APH,1,1,238,2,3
AFD,APH,1,1,238,2,3
AGL,APH,6,2,238,1,3
JK,AGL,7,2,238,1,3
AGL,JK,7,2,238,1,3
JK,AGL,7,2,238,1,3
AGL,JK,7,2,238,2,3
CDU,NR,1,1,238,2,3
CDU,NR,1,1,238,2,3
SPD,NR,1,1,238,2,3
FDP,NR,1,1,238,2,3
APH,NR,6,2,238,2,3
CDU,NR,1,1,238,2,3
BB,NR,6,2,238,2,3
AFD,NR,1,2,238,2,3
AFD,NR,8,2,238,2,3
CDU,NR,1,1,238,2,3
GRUENE,ON,1,1,238,2,3
BH,NR,6,3,238,2,3
AB,NR,6,2,238,2,3
CDU,NR,1,1,238,2,3
CDU,NR,1,1,238,2,3
ON,NR,2,4,238,2,3
APH,NR,6,2,238,2,3
CDU,NR,1,1,238,2,3
SPD,NR,1,1,238,2,3
CDU,NR,1,1,238,2,3
DD,NR,6,2,238,2,3
AFD,NR,4,2,238,2,3
CDU,NR,1,1,238,2,3
CDU,NR,1,1,238,2,3
LINKE,MB,1,1,238,2,3
LINKE,MB,1,1,238,2,3
DD,MB,6,1,238,2,3
LINKE,MB,1,1,238,2,3
LINKE,MB,1,1,238,2,3
LINKE,MB,1,1,238,2,3
GRUENE,MB,1,1,238,2,3
CDU,RB,1,1,238,2,3
DD,RB,6,2,238,2,3
CDU,RB,1,1,238,2,3
CDU,RB,1,1,238,2,3
AFD,RB,2,4,238,2,3
CDU,RB,1,1,238,2,3
MASZ,RB,6,2,238,2,3
AFD,RB,2,4,238,2,3
CDU,RB,1,1,238,2,3
CDU,RB,1,1,238,2,3
SPD,RB,2,4,238,2,3
LINKE,RB,2,2,238,2,3
AD,RB,6,1,238,2,3
MR,RB,2,4,238,2,3
LINKE,RB,2,2,238,2,3
CDU,RB,1,1,238,2,3
AD,RB,6,1,238,2,3
CDU,RB,1,1,238,2,3
AD,RB,6,1,238,2,3
LINKE,RB,2,2,238,2,3
MRA,RB,4,2,238,1,3
MASZ,RB,6,2,238,1,3
CDU,JK,3,2,238,2,3
AGL,JK,6,2,238,2,3
LINKE,JK,1,1,238,2,3
AG,JK,6,1,238,1,3
AGL,JK,6,4,238,1,3
MASZ,JK,6,4,238,1,3
AFD,RB,2,4,238,2,3
CDU,RB,1,1,238,2,3
FDP,RB,1,1,238,2,3
CDU,RB,1,1,238,2,3
GRUENE,RB,2,4,238,2,3
CDU,RB,1,1,238,2,3
SPD,SM,1,1,238,2,3
AGL,SM,6,1,238,2,3
SPD,SM,1,1,238,2,3
CDU,SM,1,1,238,2,3
FDP,SM,1,1,238,2,3
SPD,SM,1,1,238,2,3
