from;to;kommentar;tonalität;zeit;folge;thema;;;;;;;;;;;;
BB;JH;4;2;238;2;3;;;;;;;;;;;;
CDU;JH;1;1;238;2;3;;;;;;;;;;;;
SPD;AOE;1;1;238;2;3;;;;;;;;;;;;
LINKE;AOE;2;2;238;2;3;;;;;;;;;;;;
LINKE;AOE;2;2;238;2;3;;;;;;;;;;;;
SPD;AOE;1;1;238;2;3;;;;;;;;;;;;
AGL;AOE;2;2;238;1;3;;;;;;;;;;;;
SPD;AOE;1;1;238;2;3;;;;;;;;;;;;
SPD;AOE;1;1;238;2;3;;;;;;;;;;;;
CH;AOE;2;4;238;2;3;;;;;;;;;;;;
SPD;AOE;1;1;238;2;3;;;;;;;;;;;;
DD;AOE;6;2;238;2;3;;;;;;;;;;;;
SPD;AOE;1;1;238;2;3;;;;;;;;;;;;
CDU;AOE;1;1;238;2;3;;;;;;;;;;;;
LINKE;DD;1;1;238;2;3;;;;;;;;;;;;
LINKE;AOE;3;2;238;2;3;;;;;;;;;;;;
LINKE;AOE;2;2;238;2;3;;;;;;;;;;;;
LINKE;AOE;2;2;238;2;3;;;;;;;;;;;;
SPD;AOE;1;1;238;2;3;;;;;;;;;;;;
CDU;AOE;1;1;238;2;3;;;;;;;;;;;;
AFD;APH;1;1;238;2;3;;;;;;;;;;;;
AFD;APH;1;1;238;2;3;;;;;;;;;;;;
AFD;APH;1;1;238;2;3;;;;;;;;;;;;
AFD;APH;1;1;238;2;3;;;;;;;;;;;;
SPD;APH;2;2;238;2;3;;;;;;;;;;;;
AGL;APH;6;2;238;2;3;;;;;;;;;;;;
AG;APH;1;1;238;2;3;;;;;;;;;;;;
AFD;APH;1;1;238;2;3;;;;;;;;;;;;
AFD;APH;1;1;238;2;3;;;;;;;;;;;;
AGL;APH;6;2;238;1;3;;;;;;;;;;;;
JK;AGL;7;2;238;1;3;;;;;;;;;;;;
AGL;JK;7;2;238;1;3;;;;;;;;;;;;
JK;AGL;7;2;238;1;3;;;;;;;;;;;;
AGL;JK;7;2;238;2;3;;;;;;;;;;;;
CDU;NR;1;1;238;2;3;;;;;;;;;;;;
CDU;NR;1;1;238;2;3;;;;;;;;;;;;
SPD;NR;1;1;238;2;3;;;;;;;;;;;;
FDP;NR;1;1;238;2;3;;;;;;;;;;;;
APH;NR;6;2;238;2;3;;;;;;;;;;;;
CDU;NR;1;1;238;2;3;;;;;;;;;;;;
BB;NR;6;2;238;2;3;;;;;;;;;;;;
AFD;NR;1;2;238;2;3;;;;;;;;;;;;
AFD;NR;8;2;238;2;3;;;;;;;;;;;;
CDU;NR;1;1;238;2;3;;;;;;;;;;;;
GRÜNE;ON;1;1;238;2;3;;;;;;;;;;;;
BH;NR;6;3;238;2;3;;;;;;;;;;;;
AB;NR;6;2;238;2;3;;;;;;;;;;;;
CDU;NR;1;1;238;2;3;;;;;;;;;;;;
CDU;NR;1;1;238;2;3;;;;;;;;;;;;
ON;NR;2;4;238;2;3;;;;;;;;;;;;
APH;NR;6;2;238;2;3;;;;;;;;;;;;
CDU;NR;1;1;238;2;3;;;;;;;;;;;;
SPD;NR;1;1;238;2;3;;;;;;;;;;;;
CDU;NR;1;1;238;2;3;;;;;;;;;;;;
DD;NR;6;2;238;2;3;;;;;;;;;;;;
AFD;NR;4;2;238;2;3;;;;;;;;;;;;
CDU;NR;1;1;238;2;3;;;;;;;;;;;;
CDU;NR;1;1;238;2;3;;;;;;;;;;;;
LINKE;MB;1;1;238;2;3;;;;;;;;;;;;
LINKE;MB;1;1;238;2;3;;;;;;;;;;;;
DD;MB;6;1;238;2;3;;;;;;;;;;;;
